;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Lidingö;Män;23 386;4 010;17,1;441;55;275;10;101;1 242;231;157;368;47;56;45;308;76;10;190;324;1 073;146;149;143;167;17;38;23;3;;;;
;Nacka;Båda könen;103 656;20 613;19,9;2 831;213;2 245;45;328;5 291;1 400;568;1 932;194;308;354;2 160;437;289;728;1 470;5 910;758;738;736;568;425;139;139;13;;;;
;Nacka;Kvinnor;52 263;10 685;20,4;1 807;104;1 497;22;184;2 552;725;314;1 030;110;155;153;1 028;205;149;369;751;2 997;306;344;357;232;326;55;93;3;;;;
;Nacka;Män;51 393;9 928;19,3;1 024;109;748;23;144;2 739;675;254;902;84;153;201;1 132;232;140;359;719;2 913;452;394;379;336;99;84;46;10;;;;
;Norrtälje;Båda könen;61 769;7 990;12,9;2 133;103;1 841;21;168;1 653;346;271;762;168;129;130;688;178;155;215;342;2 133;308;333;169;374;316;34;21;9;;;;
;Norrtälje;Kvinnor;30 524;4 074;13,3;1 247;51;1 098;11;87;744;148;140;392;87;53;48;326;76;91;103;165;1 075;93;154;68;157;247;7;13;2;;;;
;Norrtälje;Män;31 245;3 916;12,5;886;52;743;10;81;909;198;131;370;81;76;82;362;102;64;112;177;1 058;215;179;101;217;69;27;8;7;;;;
;Nykvarn;Båda könen;10 923;1 351;12,4;499;11;451;2;35;313;95;32;69;5;20;15;81;14;20;18;50;314;23;81;18;68;33;3;3;1;;;;
;Nykvarn;Kvinnor;5 355;684;12,8;266;4;245;-;17;140;39;17;38;2;9;9;44;3;10;10;26;158;8;38;6;30;26;1;1;-;;;;
;Nykvarn;Män;5 568;667;12,0;233;7;206;2;18;173;56;15;31;3;11;6;37;11;10;8;24;156;15;43;12;38;7;2;2;1;;;;
;Nynäshamn;Båda könen;28 290;5 074;17,9;813;52;671;4;86;1 596;780;102;551;73;95;144;513;60;131;85;175;1 305;114;222;145;183;163;13;19;4;;;;
;Nynäshamn;Kvinnor;13 899;2 500;18,0;466;22;399;1;44;713;367;52;272;35;39;60;236;29;64;34;92;667;42;100;62;73;133;5;14;1;;;;
