;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utrikes födda efter län, kommun och födelseland 31 december 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Län;;Kön;Folk-;därav utrikes födda efter födelseland1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kommun;;mängd;Samtliga;I procent;Norden utom;därav;                                            ;                                            ;                                            ;EU28 utom Norden;;;Europa utom EU28 och Norden;;;                                            ;Afrika;                                            ;                                            ;Nord-amerika;Syd-amerika;Asien;                                            ;                                            ;                                            ;                                            ;                                            ;Oceanien;Sovjet-unionen;Okänt;;;;
;;;;;"av folk-
mängden";Sverige;Danmark;Finland;Island;Norge;;Polen;Tyskland;;Bosnien och Hercegovina;Jugo-slavien;Turkiet;;Eritrea;Somalia;;;;Afghan-istan;Irak;Iran;Syrien;Thailand;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Riket;;Båda könen;10 230 185;1 955 569;19,1;235 633;40 011;147 883;5 992;41 747;369 743;92 759;51 140;259 177;59 395;65 124;49 948;219 914;42 300;68 678;40 116;72 467;745 271;51 979;144 035;77 386;185 991;42 394;6 236;5 508;1 504;;;;
;Eskilstuna;Män;53 162;13 702;25,8;2 096;84;1 896;14;102;1 183;210;107;844;224;225;161;2 090;484;961;154;231;7 058;320;3 000;376;2 132;66;23;17;6;;;;
;Flen;Båda könen;16 705;3 867;23,1;627;29;553;3;42;529;138;75;305;77;54;58;848;135;537;44;47;1 451;75;176;45;851;51;8;3;5;;;;
;Flen;Kvinnor;8 142;1 847;22,7;341;9;307;2;23;247;69;37;152;37;26;23;406;59;263;21;26;646;26;73;14;351;45;3;3;2;;;;
;Flen;Män;8 563;2 020;23,6;286;20;246;1;19;282;69;38;153;40;28;35;442;76;274;23;21;805;49;103;31;500;6;5;-;3;;;;
;Gnesta;Båda könen;11 237;1 434;12,8;320;36;242;4;38;364;80;86;130;28;30;18;104;44;7;38;62;402;67;44;22;108;43;8;3;3;;;;
;Gnesta;Kvinnor;5 585;736;13,2;182;19;140;2;21;167;35;47;65;12;15;8;56;22;5;13;40;203;18;23;8;45;34;6;2;2;;;;
;Gnesta;Män;5 652;698;12,3;138;17;102;2;17;197;45;39;65;16;15;10;48;22;2;25;22;199;49;21;14;63;9;2;1;1;;;;
;Katrineholm;Båda könen;34 550;6 569;19,0;752;59;609;5;79;619;100;92;761;166;291;87;1 691;356;1 078;54;119;2 544;101;694;75;938;145;10;13;6;;;;
;Katrineholm;Kvinnor;17 216;3 275;19,0;411;28;333;1;49;310;54;52;387;92;142;39;818;160;521;26;69;1 244;34;322;35;401;110;1;6;3;;;;
;Katrineholm;Män;17 334;3 294;19,0;341;31;276;4;30;309;46;40;374;74;149;48;873;196;557;28;50;1 300;67;372;40;537;35;9;7;3;;;;
;Nyköping;Båda könen;56 011;8 545;15,3;1 187;95;912;6;174;1 473;269;191;839;306;145;123;1 834;144;1 266;121;277;2 779;218;579;196;879;234;14;13;8;;;;
;Nyköping;Kvinnor;28 193;4 379;15,5;704;47;553;2;102;777;159;118;416;157;63;43;911;60;650;58;143;1 353;79;248;95;371;192;7;8;2;;;;
;Nyköping;Män;27 818;4 166;15,0;483;48;359;4;72;696;110;73;423;149;82;80;923;84;616;63;134;1 426;139;331;101;508;42;7;5;6;;;;
;Oxelösund;Båda könen;12 062;2 723;22,6;628;31;521;1;75;388;133;63;152;79;20;12;461;350;19;30;140;916;74;71;31;425;111;2;4;2;;;;
;Oxelösund;Kvinnor;5 934;1 388;23,4;334;12;282;1;39;202;85;34;80;39;9;3;224;162;13;16;72;456;23;35;17;187;85;1;3;-;;;;
;Oxelösund;Män;6 128;1 335;21,8;294;19;239;-;36;186;48;29;72;40;11;9;237;188;6;14;68;460;51;36;14;238;26;1;1;2;;;;
;Strängnäs;Båda könen;35 761;5 340;14,9;1 212;68;1 015;12;117;1 303;219;139;527;207;74;94;399;137;53;103;224;1 541;170;310;86;477;139;13;10;8;;;;
;Strängnäs;Kvinnor;17 768;2 654;14,9;677;27;584;6;60;575;109;70;258;104;42;30;186;59;25;52;125;766;57;151;38;199;120;6;6;3;;;;
;Strängnäs;Män;17 993;2 686;14,9;535;41;431;6;57;728;110;69;269;103;32;64;213;78;28;51;99;775;113;159;48;278;19;7;4;5;;;;
;Trosa;Båda könen;13 309;1 834;13,8;550;35;460;7;48;498;110;60;188;81;50;8;110;45;5;40;53;379;33;60;9;139;48;6;8;2;;;;
;Trosa;Kvinnor;6 631;923;13,9;296;16;247;3;30;225;51;30;95;41;26;3;50;18;4;24;30;196;11;31;4;59;39;1;6;-;;;;
;Trosa;Män;6 678;911;13,6;254;19;213;4;18;273;59;30;93;40;24;5;60;27;1;16;23;183;22;29;5;80;9;5;2;2;;;;
;Vingåker;Båda könen;9 136;1 365;14,9;211;22;159;2;28;129;10;32;90;21;13;23;444;172;182;16;16;449;59;31;19;218;27;4;4;2;;;;
;Vingåker;Kvinnor;4 470;687;15,4;119;8;95;-;16;55;6;12;44;10;7;10;232;79;111;8;9;216;20;15;11;104;18;-;3;1;;;;
;Vingåker;Män;4 666;678;14,5;92;14;64;2;12;74;4;20;46;11;6;13;212;93;71;8;7;233;39;16;8;114;9;4;1;1;;;;
Östergötlands län;;Båda könen;461 583;74 926;16,2;6 687;730;4 942;110;905;11 165;2 338;1 687;11 113;4 282;2 498;1 532;9 240;1 434;4 714;1 072;2 315;33 022;1 831;7 404;2 349;11 731;1 678;160;112;40;;;;
Östergötlands län;;Kvinnor;227 873;36 953;16,2;3 814;341;2 903;62;508;5 261;1 125;871;5 689;2 156;1 240;711;4 489;599;2 433;533;1 169;15 838;606;3 446;1 060;5 374;1 316;65;78;17;;;;
Östergötlands län;;Män;233 710;37 973;16,2;2 873;389;2 039;48;397;5 904;1 213;816;5 424;2 126;1 258;821;4 751;835;2 281;539;1 146;17 184;1 225;3 958;1 289;6 357;362;95;34;23;;;;
;Boxholm;Båda könen;5 449;505;9,3;62;10;37;-;15;103;12;22;26;3;12;3;109;41;32;7;4;191;35;27;5;64;23;2;1;-;;;;
;Boxholm;Kvinnor;2 640;256;9,7;31;4;21;-;6;45;6;13;15;1;6;1;52;19;15;2;2;108;23;14;2;28;18;1;-;-;;;;
;Boxholm;Män;2 809;249;8,9;31;6;16;-;9;58;6;9;11;2;6;2;57;22;17;5;2;83;12;13;3;36;5;1;1;-;;;;
;Finspång;Båda könen;21 758;3 355;15,4;721;57;597;15;52;452;90;100;488;145;120;13;366;133;75;51;63;1 193;132;104;59;474;100;10;6;5;;;;
;Finspång;Kvinnor;10 606;1 680;15,8;401;27;328;10;36;224;47;50;243;74;54;5;175;62;36;29;35;562;37;46;26;196;75;4;4;3;;;;
;Finspång;Män;11 152;1 675;15,0;320;30;269;5;16;228;43;50;245;71;66;8;191;71;39;22;28;631;95;58;33;278;25;6;2;2;;;;
;Kinda;Båda könen;9 915;905;9,1;113;19;69;4;21;184;27;39;76;19;24;3;200;35;126;15;12;301;25;22;16;138;34;2;1;1;;;;
;Kinda;Kvinnor;4 872;454;9,3;63;9;42;2;10;93;15;22;43;10;14;1;91;15;56;12;8;142;10;7;5;56;23;-;1;1;;;;
;Kinda;Män;5 043;451;8,9;50;10;27;2;11;91;12;17;33;9;10;2;109;20;70;3;4;159;15;15;11;82;11;2;-;-;;;;
;Linköping;Båda könen;161 034;27 655;17,2;1 459;219;907;39;294;4 728;820;635;3 438;1 147;733;511;3 707;182;2 424;531;708;12 954;579;3 937;1 455;2 500;570;68;49;13;;;;
;Linköping;Kvinnor;78 945;13 563;17,2;858;104;584;21;149;2 193;406;320;1 772;568;368;231;1 853;61;1 286;266;365;6 199;203;1 838;668;1 148;440;24;30;3;;;;
;Linköping;Män;82 089;14 092;17,2;601;115;323;18;145;2 535;414;315;1 666;579;365;280;1 854;121;1 138;265;343;6 755;376;2 099;787;1 352;130;44;19;10;;;;
;Mjölby;Båda könen;27 373;3 001;11,0;303;41;211;2;49;475;92;65;386;130;66;78;255;59;48;25;82;1 460;159;203;67;423;91;10;3;2;;;;
;Mjölby;Kvinnor;13 563;1 481;10,9;181;24;120;1;36;235;41;36;188;63;29;36;110;23;20;12;41;704;52;99;26;182;71;6;3;1;;;;
;Mjölby;Män;13 810;1 520;11,0;122;17;91;1;13;240;51;29;198;67;37;42;145;36;28;13;41;756;107;104;41;241;20;4;-;1;;;;
;Motala;Båda könen;43 687;6 580;15,1;882;65;744;2;71;763;147;99;959;499;239;40;1 185;540;314;60;62;2 647;184;318;138;1 259;143;12;4;6;;;;
;Motala;Kvinnor;21 559;3 290;15,3;492;19;428;1;44;375;76;53;496;258;116;15;561;239;155;30;31;1 291;73;137;69;598;119;7;3;4;;;;
;Motala;Män;22 128;3 290;14,9;390;46;316;1;27;388;71;46;463;241;123;25;624;301;159;30;31;1 356;111;181;69;661;24;5;1;2;;;;
;Norrköping;Båda könen;141 676;28 231;19,9;2 470;205;1 942;34;289;3 379;859;485;5 365;2 193;1 238;843;2 935;290;1 551;310;1 280;12 409;483;2 631;531;5 977;573;33;43;7;;;;
;Norrköping;Kvinnor;70 717;13 948;19,7;1 396;106;1 110;20;160;1 590;400;238;2 731;1 107;615;404;1 433;124;790;150;643;5 957;154;1 226;230;2 775;458;12;32;4;;;;
;Norrköping;Män;70 959;14 283;20,1;1 074;99;832;14;129;1 789;459;247;2 634;1 086;623;439;1 502;166;761;160;637;6 452;329;1 405;301;3 202;115;21;11;3;;;;
;Söderköping;Båda könen;14 618;1 043;7,1;207;25;146;3;33;243;73;43;79;30;17;10;110;55;7;25;39;328;56;29;14;94;48;10;2;-;;;;
;Söderköping;Kvinnor;7 236;496;6,9;119;7;93;2;17;93;15;22;38;14;8;4;45;16;3;11;16;167;11;14;7;45;37;5;2;-;;;;
;Söderköping;Män;7 382;547;7,4;88;18;53;1;16;150;58;21;41;16;9;6;65;39;4;14;23;161;45;15;7;49;11;5;-;-;;;;
;Vadstena;Båda könen;7 514;685;9,1;108;16;65;5;22;157;39;36;99;46;13;12;55;14;18;6;17;239;25;16;13;113;14;3;-;1;;;;
;Vadstena;Kvinnor;3 783;357;9,4;66;9;41;3;13;80;24;23;53;24;8;5;34;9;12;4;6;113;7;7;7;51;11;1;-;-;;;;
;Vadstena;Män;3 731;328;8,8;42;7;24;2;9;77;15;13;46;22;5;7;21;5;6;2;11;126;18;9;6;62;3;2;-;1;;;;
;Valdemarsvik;Båda könen;7 956;1 038;13,0;123;20;87;2;14;163;53;39;43;7;6;10;95;48;8;13;21;576;33;57;10;363;27;1;2;1;;;;
;Valdemarsvik;Kvinnor;3 866;499;12,9;68;12;46;1;9;77;30;20;27;4;4;4;34;16;4;7;13;271;9;33;4;158;21;-;2;-;;;;
;Valdemarsvik;Män;4 090;539;13,2;55;8;41;1;5;86;23;19;16;3;2;6;61;32;4;6;8;305;24;24;6;205;6;1;-;1;;;;
;Ydre;Båda könen;3 743;393;10,5;62;23;31;3;5;119;15;59;26;17;-;1;73;6;52;5;6;100;31;7;4;28;7;1;-;1;;;;
;Ydre;Kvinnor;1 800;179;9,9;33;8;20;-;5;62;13;29;13;8;-;1;34;1;27;3;2;31;2;2;1;9;4;1;-;-;;;;
;Ydre;Män;1 943;214;11,0;29;15;11;3;-;57;2;30;13;9;-;-;39;5;25;2;4;69;29;5;3;19;3;-;-;1;;;;
;Åtvidaberg;Båda könen;11 537;891;7,7;99;13;55;1;30;220;48;37;74;21;19;6;104;27;38;19;18;351;37;33;24;155;37;3;1;2;;;;
;Åtvidaberg;Kvinnor;5 708;454;8,0;63;7;37;1;18;113;23;25;40;11;11;3;51;12;22;5;6;173;8;16;9;69;29;1;1;1;;;;
;Åtvidaberg;Män;5 829;437;7,5;36;6;18;-;12;107;25;12;34;10;8;3;53;15;16;14;12;178;29;17;15;86;8;2;-;1;;;;
;Ödeshög;Båda könen;5 323;644;12,1;78;17;51;-;10;179;63;28;54;25;11;2;46;4;21;5;3;273;52;20;13;143;11;5;-;1;;;;
;Ödeshög;Kvinnor;2 578;296;11,5;43;5;33;-;5;81;29;20;30;14;7;1;16;2;7;2;1;120;17;7;6;59;10;3;-;-;;;;
;Ödeshög;Män;2 745;348;12,7;35;12;18;-;5;98;34;8;24;11;4;1;30;2;14;3;2;153;35;13;7;84;1;2;-;1;;;;
Jönköpings län;;Båda könen;360 825;64 248;17,8;5 205;1 126;3 087;161;831;11 097;2 144;2 257;12 366;5 132;3 564;891;6 249;1 044;2 735;788;1 470;26 872;1 838;4 967;1 248;9 751;1 213;102;70;29;;;;
Jönköpings län;;Kvinnor;178 183;31 347;17,6;2 892;548;1 827;80;437;5 437;1 152;1 138;6 199;2 557;1 739;416;2 895;408;1 370;385;746;12 693;613;2 360;554;4 218;936;40;47;13;;;;
Jönköpings län;;Män;182 642;32 901;18,0;2 313;578;1 260;81;394;5 660;992;1 119;6 167;2 575;1 825;475;3 354;636;1 365;403;724;14 179;1 225;2 607;694;5 533;277;62;23;16;;;;
;Aneby;Båda könen;6 832;870;12,7;75;20;33;4;18;166;45;31;134;53;35;1;103;58;2;12;20;356;90;24;26;140;21;3;-;1;;;;
;Aneby;Kvinnor;3 348;431;12,9;39;9;20;2;8;80;19;20;71;25;21;-;51;34;-;4;13;170;34;12;12;65;14;2;-;1;;;;
;Aneby;Män;3 484;439;12,6;36;11;13;2;10;86;26;11;63;28;14;1;52;24;2;8;7;186;56;12;14;75;7;1;-;-;;;;
;Eksjö;Båda könen;17 667;2 755;15,6;240;69;115;7;49;582;95;177;352;66;93;9;162;64;18;33;48;1 325;99;93;43;739;75;7;4;2;;;;
;Eksjö;Kvinnor;8 793;1 349;15,3;144;43;71;3;27;284;46;92;178;34;44;5;62;20;10;16;27;635;33;42;20;328;64;1;2;-;;;;
;Eksjö;Män;8 874;1 406;15,8;96;26;44;4;22;298;49;85;174;32;49;4;100;44;8;17;21;690;66;51;23;411;11;6;2;2;;;;
;Gislaved;Båda könen;29 857;7 105;23,8;866;182;575;22;87;1 300;293;171;1 765;895;502;21;592;92;344;56;253;2 262;109;106;44;1 304;116;4;5;2;;;;
;Gislaved;Kvinnor;14 561;3 524;24,2;458;77;326;11;44;665;165;87;877;435;258;9;275;29;182;29;124;1 090;34;52;15;565;99;3;2;1;;;;
;Gislaved;Män;15 296;3 581;23,4;408;105;249;11;43;635;128;84;888;460;244;12;317;63;162;27;129;1 172;75;54;29;739;17;1;3;1;;;;
;Gnosjö;Båda könen;9 776;2 499;25,6;282;54;191;11;26;518;145;49;416;277;70;6;291;10;225;6;62;920;17;6;8;255;52;1;3;-;;;;
;Gnosjö;Kvinnor;4 698;1 162;24,7;133;26;89;6;12;241;78;23;193;138;24;1;133;2;108;4;30;425;2;3;1;98;36;-;3;-;;;;
;Gnosjö;Män;5 078;1 337;26,3;149;28;102;5;14;277;67;26;223;139;46;5;158;8;117;2;32;495;15;3;7;157;16;1;-;-;;;;
;Habo;Båda könen;12 140;987;8,1;118;13;72;2;31;255;88;39;78;26;25;7;61;13;5;27;35;412;47;50;17;127;32;-;1;-;;;;
;Habo;Kvinnor;6 008;494;8,2;68;8;48;-;12;121;41;20;40;15;8;3;25;6;2;16;22;201;9;22;7;53;27;-;1;-;;;;
;Habo;Män;6 132;493;8,0;50;5;24;2;19;134;47;19;38;11;17;4;36;7;3;11;13;211;38;28;10;74;5;-;-;-;;;;
;Jönköping;Båda könen;139 222;24 623;17,7;1 602;287;991;53;271;3 795;579;766;4 091;1 241;1 361;633;2 474;404;871;401;545;11 612;526;3 460;651;3 216;344;59;37;7;;;;
;Jönköping;Kvinnor;69 426;11 980;17,3;943;145;618;33;147;1 848;315;369;2 091;626;683;303;1 120;164;419;191;273;5 461;159;1 669;306;1 400;261;22;27;4;;;;
;Jönköping;Män;69 796;12 643;18,1;659;142;373;20;124;1 947;264;397;2 000;615;678;330;1 354;240;452;210;272;6 151;367;1 791;345;1 816;83;37;10;3;;;;
;Mullsjö;Båda könen;7 324;794;10,8;128;34;62;6;26;218;48;39;71;25;22;2;54;16;3;16;32;271;44;47;20;51;25;1;3;-;;;;
;Mullsjö;Kvinnor;3 658;399;10,9;72;17;38;3;14;109;27;18;33;11;9;-;25;6;3;7;15;136;13;24;13;17;20;-;2;-;;;;
;Mullsjö;Män;3 666;395;10,8;56;17;24;3;12;109;21;21;38;14;13;2;29;10;-;9;17;135;31;23;7;34;5;1;1;-;;;;
;Nässjö;Båda könen;31 477;5 982;19,0;314;77;158;14;65;824;159;170;902;298;198;66;1 195;198;774;61;59;2 612;153;411;93;1 122;157;8;4;3;;;;
;Nässjö;Kvinnor;15 385;2 886;18,8;181;33;103;8;37;398;91;92;449;147;95;33;581;80;394;32;29;1 209;62;190;41;465;102;3;3;1;;;;
;Nässjö;Män;16 092;3 096;19,2;133;44;55;6;28;426;68;78;453;151;103;33;614;118;380;29;30;1 403;91;221;52;657;55;5;1;2;;;;
;Sävsjö;Båda könen;11 631;2 259;19,4;148;52;66;1;29;421;106;92;309;69;119;6;152;21;58;15;20;1 189;138;155;40;620;23;2;1;2;;;;
;Sävsjö;Kvinnor;5 665;1 077;19,0;77;26;33;-;18;210;54;47;152;32;56;1;79;8;29;10;11;533;56;72;17;269;19;2;1;2;;;;
;Sävsjö;Män;5 966;1 182;19,8;71;26;33;1;11;211;52;45;157;37;63;5;73;13;29;5;9;656;82;83;23;351;4;-;-;-;;;;
;Tranås;Båda könen;18 987;2 980;15,7;244;34;153;5;52;528;143;90;529;242;96;32;217;32;91;34;36;1 383;228;92;76;574;80;4;3;2;;;;
;Tranås;Kvinnor;9 390;1 448;15,4;139;17;94;3;25;259;76;45;256;121;41;17;90;11;39;15;19;666;79;41;32;272;68;2;1;1;;;;
;Tranås;Män;9 597;1 532;16,0;105;17;59;2;27;269;67;45;273;121;55;15;127;21;52;19;17;717;149;51;44;302;12;2;2;1;;;;
;Vaggeryd;Båda könen;13 980;2 304;16,5;204;45;115;17;27;532;103;127;635;335;190;1;246;19;139;21;61;599;37;60;26;179;73;3;2;1;;;;
;Vaggeryd;Kvinnor;6 871;1 139;16,6;106;17;65;4;20;272;57;64;310;164;88;-;113;5;70;8;38;289;6;28;11;67;58;1;2;-;;;;
;Vaggeryd;Män;7 109;1 165;16,4;98;28;50;13;7;260;46;63;325;171;102;1;133;14;69;13;23;310;31;32;15;112;15;2;-;1;;;;
;Vetlanda;Båda könen;27 504;4 287;15,6;357;116;172;10;59;902;155;327;767;349;203;35;274;83;83;50;54;1 874;201;338;80;845;95;3;1;5;;;;
;Vetlanda;Kvinnor;13 418;2 076;15,5;190;50;104;3;33;436;80;168;389;175;98;12;140;35;51;23;26;869;72;151;28;372;74;2;-;1;;;;
;Vetlanda;Män;14 086;2 211;15,7;167;66;68;7;26;466;75;159;378;174;105;23;134;48;32;27;28;1 005;129;187;52;473;21;1;1;4;;;;
;Värnamo;Båda könen;34 428;6 803;19,8;627;143;384;9;91;1 056;185;179;2 317;1 256;650;72;428;34;122;56;245;2 057;149;125;124;579;120;7;6;4;;;;
;Värnamo;Kvinnor;16 962;3 382;19,9;342;80;218;4;40;514;103;93;1 160;634;314;32;201;8;63;30;119;1 009;54;54;51;247;94;2;3;2;;;;
;Värnamo;Män;17 466;3 421;19,6;285;63;166;5;51;542;82;86;1 157;622;336;40;227;26;59;26;126;1 048;95;71;73;332;26;5;3;2;;;;
Kronobergs län;;Båda könen;199 886;40 106;20,1;2 967;1 431;1 037;109;390;9 419;1 738;1 939;6 361;2 160;1 807;338;4 227;591;2 191;576;1 181;15 208;1 413;2 575;684;5 229;737;78;32;57;;;;
Kronobergs län;;Kvinnor;98 112;19 446;19,8;1 531;671;595;56;209;4 674;908;1 003;3 189;1 069;910;133;1 947;248;1 034;279;624;7 135;521;1 174;318;2 216;577;32;18;17;;;;
Kronobergs län;;Män;101 774;20 660;20,3;1 436;760;442;53;181;4 745;830;936;3 172;1 091;897;205;2 280;343;1 157;297;557;8 073;892;1 401;366;3 013;160;46;14;40;;;;
;Alvesta;Båda könen;20 150;3 996;19,8;262;103;116;12;31;942;237;121;868;323;181;8;683;28;498;40;111;1 068;171;75;30;427;72;3;1;18;;;;
;Alvesta;Kvinnor;9 845;1 970;20,0;133;40;65;6;22;470;122;66;433;154;89;3;337;13;246;22;56;513;63;28;18;187;59;1;-;5;;;;
;Alvesta;Män;10 305;2 026;19,7;129;63;51;6;9;472;115;55;435;169;92;5;346;15;252;18;55;555;108;47;12;240;13;2;1;13;;;;
;Lessebo;Båda könen;8 780;2 378;27,1;165;64;79;9;13;454;105;164;140;28;74;9;298;36;160;18;32;1 262;89;95;18;831;44;5;1;3;;;;
;Lessebo;Kvinnor;4 274;1 135;26,6;76;26;40;4;6;223;55;81;80;16;39;7;131;16;69;11;17;594;38;44;7;371;34;2;-;1;;;;
;Lessebo;Män;4 506;1 243;27,6;89;38;39;5;7;231;50;83;60;12;35;2;167;20;91;7;15;668;51;51;11;460;10;3;1;2;;;;
;Ljungby;Båda könen;28 573;5 423;19,0;527;295;176;11;45;2 014;281;284;950;301;303;41;249;37;46;48;69;1 553;211;141;49;574;100;8;2;3;;;;
;Ljungby;Kvinnor;13 987;2 644;18,9;271;139;100;7;25;971;133;157;486;156;148;16;109;9;22;23;36;741;74;61;23;235;76;4;2;1;;;;
;Ljungby;Män;14 586;2 779;19,1;256;156;76;4;20;1 043;148;127;464;145;155;25;140;28;24;25;33;812;137;80;26;339;24;4;-;2;;;;
;Markaryd;Båda könen;10 260;2 480;24,2;431;307;99;1;24;601;148;117;325;85;125;23;73;25;8;15;24;1 004;69;32;17;723;43;-;2;5;;;;
;Markaryd;Kvinnor;4 990;1 163;23,3;206;142;55;-;9;274;71;49;156;38;63;5;33;9;3;10;13;468;27;18;7;314;34;-;1;2;;;;
;Markaryd;Män;5 270;1 317;25,0;225;165;44;1;15;327;77;68;169;47;62;18;40;16;5;5;11;536;42;14;10;409;9;-;1;3;;;;
;Tingsryd;Båda könen;12 407;2 009;16,2;223;136;58;3;26;625;93;299;184;81;36;23;192;56;77;29;19;734;151;65;29;320;64;1;1;1;;;;
;Tingsryd;Kvinnor;6 042;957;15,8;108;60;32;1;15;318;47;157;87;41;19;9;86;26;26;13;13;330;61;24;8;125;56;1;1;-;;;;
;Tingsryd;Män;6 365;1 052;16,5;115;76;26;2;11;307;46;142;97;40;17;14;106;30;51;16;6;404;90;41;21;195;8;-;-;1;;;;
;Uppvidinge;Båda könen;9 581;2 121;22,1;189;82;74;6;27;727;149;237;174;40;46;15;293;108;113;15;18;690;49;33;9;414;40;8;5;2;;;;
;Uppvidinge;Kvinnor;4 575;974;21,3;92;34;42;2;14;345;77;119;86;18;23;8;128;43;51;7;11;299;17;12;4;166;30;5;1;-;;;;
;Uppvidinge;Män;5 006;1 147;22,9;97;48;32;4;13;382;72;118;88;22;23;7;165;65;62;8;7;391;32;21;5;248;10;3;4;2;;;;
;Växjö;Båda könen;92 567;17 281;18,7;858;251;351;66;190;2 940;540;518;3 228;1 155;929;171;2 193;165;1 256;303;820;6 865;530;1 972;516;1 322;312;34;18;22;;;;
;Växjö;Kvinnor;45 761;8 407;18,4;482;138;209;36;99;1 507;296;276;1 610;569;473;64;1 016;71;601;136;428;3 198;185;920;246;536;234;10;12;8;;;;
;Växjö;Män;46 806;8 874;19,0;376;113;142;30;91;1 433;244;242;1 618;586;456;107;1 177;94;655;167;392;3 667;345;1 052;270;786;78;24;6;14;;;;
;Älmhult;Båda könen;17 568;4 418;25,1;312;193;84;1;34;1 116;185;199;492;147;113;48;246;136;33;108;88;2 032;143;162;16;618;62;19;2;3;;;;
;Älmhult;Kvinnor;8 638;2 196;25,4;163;92;52;-;19;566;107;98;251;77;56;21;107;61;16;57;50;992;56;67;5;282;54;9;1;-;;;;
;Älmhult;Män;8 930;2 222;24,9;149;101;32;1;15;550;78;101;241;70;57;27;139;75;17;51;38;1 040;87;95;11;336;8;10;1;3;;;;
Kalmar län;;Båda könen;244 670;35 012;14,3;2 868;693;1 660;69;446;7 520;1 671;2 395;5 102;1 762;1 444;321;2 187;539;491;413;703;16 052;1 350;1 431;627;8 063;860;81;58;28;;;;
Kalmar län;;Kvinnor;121 130;17 006;14,0;1 595;332;994;32;237;3 623;862;1 188;2 603;890;690;132;999;232;222;205;377;7 527;458;636;271;3 438;679;32;33;12;;;;
Kalmar län;;Män;123 540;18 006;14,6;1 273;361;666;37;209;3 897;809;1 207;2 499;872;754;189;1 188;307;269;208;326;8 525;892;795;356;4 625;181;49;25;16;;;;
;Borgholm;Båda könen;10 873;1 174;10,8;143;25;75;9;34;338;68;99;81;29;23;1;62;15;3;21;26;492;52;22;4;284;33;7;2;2;;;;
;Borgholm;Kvinnor;5 392;545;10,1;83;16;47;7;13;144;35;50;51;17;14;-;23;8;-;11;12;217;14;11;-;107;27;2;1;1;;;;
;Borgholm;Män;5 481;629;11,5;60;9;28;2;21;194;33;49;30;12;9;1;39;7;3;10;14;275;38;11;4;177;6;5;1;1;;;;
;Emmaboda;Båda könen;9 400;1 834;19,5;199;86;99;1;13;515;104;230;249;114;64;3;128;9;38;16;8;709;79;24;19;429;56;4;3;3;;;;
;Emmaboda;Kvinnor;4 556;909;20,0;106;45;52;-;9;252;51;113;127;60;28;1;62;4;22;12;6;339;24;11;8;180;44;2;1;2;;;;
;Emmaboda;Män;4 844;925;19,1;93;41;47;1;4;263;53;117;122;54;36;2;66;5;16;4;2;370;55;13;11;249;12;2;2;1;;;;
;Hultsfred;Båda könen;14 360;3 060;21,3;265;89;128;9;39;706;80;392;391;131;112;13;154;51;33;11;52;1 478;83;95;23;1 012;44;2;-;1;;;;
;Hultsfred;Kvinnor;6 944;1 469;21,2;130;42;65;4;19;366;43;191;195;61;51;8;78;20;16;6;28;664;30;42;6;444;34;1;-;1;;;;
;Hultsfred;Män;7 416;1 591;21,5;135;47;63;5;20;340;37;201;196;70;61;5;76;31;17;5;24;814;53;53;17;568;10;1;-;-;;;;
;Högsby;Båda könen;6 094;1 552;25,5;101;38;48;1;14;404;56;228;94;33;22;5;104;33;8;11;19;817;56;16;15;583;36;2;-;-;;;;
;Högsby;Kvinnor;2 952;732;24,8;44;14;25;-;5;190;24;105;47;15;9;1;56;16;5;5;11;378;24;9;7;254;28;1;-;-;;;;
;Högsby;Män;3 142;820;26,1;57;24;23;1;9;214;32;123;47;18;13;4;48;17;3;6;8;439;32;7;8;329;8;1;-;-;;;;
;Kalmar;Båda könen;68 510;9 490;13,9;566;122;313;19;112;1 966;556;328;1 467;534;370;128;621;78;147;148;248;4 408;398;689;329;1 356;238;29;31;6;;;;
;Kalmar;Kvinnor;34 478;4 679;13,6;329;62;195;8;64;953;279;186;761;263;178;60;267;28;59;70;126;2 142;156;306;144;594;190;10;19;2;;;;
;Kalmar;Män;34 032;4 811;14,1;237;60;118;11;48;1 013;277;142;706;271;192;68;354;50;88;78;122;2 266;242;383;185;762;48;19;12;4;;;;
;Mönsterås;Båda könen;13 565;2 001;14,8;160;34;101;3;22;436;131;119;268;137;52;17;82;24;12;20;22;996;82;29;28;645;48;11;4;2;;;;
;Mönsterås;Kvinnor;6 680;966;14,5;94;16;62;1;15;199;49;64;130;71;24;4;38;7;7;11;10;476;23;15;12;303;37;5;2;1;;;;
;Mönsterås;Män;6 885;1 035;15,0;66;18;39;2;7;237;82;55;138;66;28;13;44;17;5;9;12;520;59;14;16;342;11;6;2;1;;;;
;Mörbylånga;Båda könen;15 048;1 270;8,4;152;26;84;4;38;332;80;73;134;37;40;4;47;9;1;29;28;543;86;9;29;216;80;4;1;-;;;;
